cluster_1	LOC_Os07g11050.1	AAA_25	1	1	21.60	27	0.04	0.80	0.0004997501	0.006996502	PRESENT
cluster_3	AT5G20040.1	M9	0	9	12.80	16	0.56	0.80	0.580709645	1.00000000	ABSENT
cluster_3	LOC_Os06g51350.1	M9	0	9	12.80	16	0.56	0.80	0.580709645	1.00000000	ABSENT
cluster_3	Micp1_3167	M19	0	12	12.80	16	0.75	0.80	1.000000000	1.00000000	ABSENT
cluster_3	Micp1_3167	M9	0	9	12.80	16	0.56	0.80	0.580709645	1.00000000	ABSENT
cluster_3	Micp2_68379	M19	0	12	12.80	16	0.75	0.80	1.000000000	1.00000000	ABSENT
cluster_3	Micp2_68379	M9	0	9	12.80	16	0.56	0.80	0.580709645	1.00000000	ABSENT
cluster_3	PpIPT4	M13	0	15	12.80	16	0.94	0.80	0.788105947	1.00000000	ABSENT
cluster_3	PpIPT3	M4	0	12	12.80	16	0.75	0.80	1.000000000	1.00000000	ABSENT
cluster_3	PpIPT5	M7	0	13	12.80	16	0.81	0.80	1.000000000	1.00000000	ABSENT
cluster_3	Cyame_CMS475C	M19	0	12	12.80	16	0.75	0.80	1.000000000	1.00000000	ABSENT
cluster_3	Cyame_CMS475C	M9	0	9	12.80	16	0.56	0.80	0.580709645	1.00000000	ABSENT
cluster_3	Ostlu_3723	M19	0	12	12.80	16	0.75	0.80	1.000000000	1.00000000	ABSENT
cluster_3	Ostlu_3723	M9	0	9	12.80	16	0.56	0.80	0.580709645	1.00000000	ABSENT
cluster_3	PpIPT2	M15	0	14	12.80	16	0.88	0.80	1.000000000	1.00000000	ABSENT
cluster_3	PpIPT2	M18	1	2	12.80	16	0.12	0.80	0.004997501	0.04247876	PRESENT
cluster_3	PpIPT2	M4	0	12	12.80	16	0.75	0.80	1.000000000	1.00000000	ABSENT
cluster_3	PpIPT2	M7	0	13	12.80	16	0.81	0.80	1.000000000	1.00000000	ABSENT
cluster_3	PpIPT7	M15	0	14	12.80	16	0.88	0.80	1.000000000	1.00000000	ABSENT
cluster_3	PpIPT7	M18	1	2	12.80	16	0.12	0.80	0.004997501	0.04247876	PRESENT
cluster_3	PpIPT7	M4	0	12	12.80	16	0.75	0.80	1.000000000	1.00000000	ABSENT
cluster_3	PpIPT7	M7	0	13	12.80	16	0.81	0.80	1.000000000	1.00000000	ABSENT
cluster_3	D7FQ18_ECTSI	M14	1	1	12.80	16	0.06	0.80	0.001499250	0.02548726	PRESENT
cluster_3	D7FQ18_ECTSI	M4	0	12	12.80	16	0.75	0.80	1.000000000	1.00000000	ABSENT
cluster_3	D7FQ18_ECTSI	M8	0	15	12.80	16	0.94	0.80	0.785107446	1.00000000	ABSENT
cluster_3	D7FQ18_ECTSI	M9	0	9	12.80	16	0.56	0.80	0.580709645	1.00000000	ABSENT
cluster_4	MIAA_ANAVT	AAA_17	0	2	6.40	8	0.25	0.80	0.21589205	1.0000000	ABSENT
cluster_4	MIAA_ANAVT	M2	0	5	6.40	8	0.62	0.80	0.69465267	1.0000000	ABSENT
cluster_4	MIAA_NOSP7	AAA_17	0	2	6.40	8	0.25	0.80	0.21589205	1.0000000	ABSENT
cluster_4	MIAA_NOSP7	M2	0	5	6.40	8	0.62	0.80	0.69465267	1.0000000	ABSENT
cluster_4	MIAA_ECOLI	AAA_17	0	2	6.40	8	0.25	0.80	0.21589205	1.0000000	ABSENT
cluster_4	MIAA_ECOLI	M4	0	6	6.40	8	0.75	0.80	1.00000000	1.0000000	ABSENT
cluster_4	MIAA_PROMA	AAA_17	0	2	6.40	8	0.25	0.80	0.21589205	1.0000000	ABSENT
cluster_4	MIAA_PROMA	M3	0	7	6.40	8	0.88	0.80	1.00000000	1.0000000	ABSENT
cluster_4	MIAA_SYNE7	M4	0	6	6.40	8	0.75	0.80	1.00000000	1.0000000	ABSENT
cluster_4	D8FY86_9CYAN	AAA_17	0	2	6.40	8	0.25	0.80	0.21589205	1.0000000	ABSENT
cluster_4	B7FQX4_PHATC	AAA_17	0	2	6.40	8	0.25	0.80	0.21589205	1.0000000	ABSENT
cluster_4	B7FQX4_PHATC	M17	0	7	6.40	8	0.88	0.80	1.00000000	1.0000000	ABSENT
cluster_4	B7FQX4_PHATC	M2	0	5	6.40	8	0.62	0.80	0.69465267	1.0000000	ABSENT
cluster_5	Chlre4_409217	IPT	0	1	4.00	5	0.20	0.80	0.5632184	1	ABSENT
cluster_5	Chlre4_409217	M3	0	4	4.00	5	0.80	0.80	1.0000000	1	ABSENT
cluster_5	Chlre4_409217	M4	0	2	4.00	5	0.40	0.80	0.6251874	1	ABSENT
cluster_5	Volca1_90025	IPT	0	1	4.00	5	0.20	0.80	0.5632184	1	ABSENT
cluster_5	Volca1_90025	M4	0	2	4.00	5	0.40	0.80	0.6251874	1	ABSENT
cluster_5	Chlsp_55198	M4	0	2	4.00	5	0.40	0.80	0.6251874	1	ABSENT
cluster_5	B8C0R1_THAPS	IPT	0	1	4.00	5	0.20	0.80	0.5632184	1	ABSENT
cluster_5	B8C0R1_THAPS	M19	0	4	4.00	5	0.80	0.80	1.0000000	1	ABSENT
cluster_5	B8C0R1_THAPS	M2	0	4	4.00	5	0.80	0.80	1.0000000	1	ABSENT
cluster_5	B8C0R1_THAPS	M8	0	4	4.00	5	0.80	0.80	1.0000000	1	ABSENT
cluster_5	Ostta_33635	IPT	0	1	4.00	5	0.20	0.80	0.5632184	1	ABSENT
cluster_5	Ostta_33635	M1	0	4	4.00	5	0.80	0.80	1.0000000	1	ABSENT
cluster_5	Ostta_33635	M16	0	4	4.00	5	0.80	0.80	1.0000000	1	ABSENT
cluster_5	Ostta_33635	M5	0	4	4.00	5	0.80	0.80	1.0000000	1	ABSENT
cluster_6	IPTZ_AGRT5	AAA_17	0	1	1.60	2	0.50	0.80	1	1	ABSENT
